Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
2604,47th week,Maharashtra,Satara,Dengue,16,,27,10,2017,17.63612885,74.29827808,0.04106051663,12.0,306.124
2606,48th week,Maharashtra,Beed,Dengue,6,,30,11,2017,18.9918442,75.909784,9.52e-05,10.0,305.3933334
2612,49th week,Maharashtra,Palghar,Dengue,20,,13,11,2017,19.684661,72.82491116,3e-05,13.0,305.14
2627,51st week,Maharashtra,Sindhudurg,Dengue,6,,12,12,2017,16.1357193,73.6522086,0.03444098766,21.0,300.79200000000003
2685,7th week,Maharashtra,Kolhapur,Dengue,7,1.0,12,2,2016,16.7028412,74.2405329,4.73e-05,5.0,307.5966666
2692,7th week,Maharashtra,Gadchiroli,Malaria,98,1.0,8,2,2016,19.75907035,80.16228073,7.18e-05,9.0,305.0766666
2693,7th week,Maharashtra,Pune,Dengue,22,,8,1,2016,18.521428,73.8544541,2.19e-05,,303.36400000000003
2738,13th week,Maharashtra,Beed,Dengue,11,1.0,29,2,2016,18.9918442,75.909784,0.02412643043,4.0,314.62
2739,13th week,Maharashtra,Kolhapur,Malaria,13,,30,3,2016,16.7028412,74.2405329,0.01202549065,5.0,315.2133334
2799,17th week,Maharashtra,Sangli,Dengue,25,,16,4,2016,17.1726928,74.58676543,8.26e-05,6.0,319.92400000000004
2800,17th week,Maharashtra,Sangli,Dengue,13,,16,4,2016,17.1726928,74.58676543,8.26e-05,6.0,319.92400000000004
2825,18th week,Maharashtra,Nashik,Dengue,20,1.0,25,4,2016,20.0112475,73.7902364,0.002772524939,5.0,316.8266666
2845,19th week,Maharashtra,Kolhapur,Dengue,33,1.0,4,5,2016,16.7028412,74.2405329,0.03786334578,5.0,317.61333340000004
2846,19th week,Maharashtra,Raigad,Dengue,26,,2,5,2016,18.4928092,73.13807095,0.001269255466,9.0,314.5933334
2847,19th week,Maharashtra,Sindhudurg,Dengue,23,,7,4,2016,16.1357193,73.6522086,0.01459097598,17.0,308.824
2869,20th week,Maharashtra,Nashik,Dengue,4,1.0,10,5,2016,20.0112475,73.7902364,0.09263780485,6.0,318.7666666
2980,23rd week,Maharashtra,Pune,Dengue,24,,24,4,2016,18.521428,73.8544541,0.01879334041,5.0,318.5566666
2981,23rd week,Maharashtra,Pune,Dengue,47,,4,4,2016,18.521428,73.8544541,0.000185409968,5.0,317.3333334
3001,24th week,Maharashtra,Nashik,Dengue,20,,13,6,2016,20.0112475,73.7902364,0.1453856864,4.0,313.712
3002,24th week,Maharashtra,Nashik,Dengue,12,,15,6,2016,20.0112475,73.7902364,0.1926391201,4.0,311.975
3050,25th week,Maharashtra,Chandrapur,Malaria,28,1.0,5,5,2016,20.0967555,79.50454752,0.09036653885,7.0,317.2066666
