Unnamed: 0,week_of_outbreak,state_ut,district,disease,cases,deaths,day,mon,year,Latitude,Longitude,rainfall,lai,temp_kelvin,temp_c,humidity,population,pop_density,urban_percent
727,2nd week,Maharashtra,Nashik,Dengue,27,1.0,28,10,2018,20.0112475,73.7902364,0.002509383523,10.0,308.124,34.974000000000046,12.784510519881007,6107187,393,38.3
734,4th week,Maharashtra,Thane,Dengue,9,1.0,15,1,2019,19.1943294,72.9701779,5.55e-05,9.0,304.524,31.374000000000024,15.919691753574106,11060148,1157,72.1
760,9th week,Maharashtra,Kolhapur,Dengue,7,1.0,27,2,2019,16.7028412,74.2405329,0.0001514302351,5.0,312.42,39.27000000000004,8.977314219855872,3876001,504,35.6
854,23rd week,Maharashtra,Palghar,Dengue,8,,24,5,2019,19.684661,72.82491116,0.0002743511347,,314.75333340000003,41.603333400000054,6.926962771214448,2990116,551,36.5
855,23rd week,Maharashtra,Raigad,Dengue,24,,20,5,2019,18.4928092,73.13807095,0.0002675690383,9.0,315.3966666,42.246666600000026,6.3611448297968245,2635394,368,36.9
862,24th week,Maharashtra,Sangli,Malaria,7,,4,6,2019,17.1726928,74.58676543,0.009114818469,7.0,312.47,39.32000000000005,9.045051659927763,2822143,329,32.8
877,24th week,Maharashtra,Sangli,Dengue,12,,29,5,2019,17.1726928,74.58676543,0.002000857702,6.0,315.91,42.76000000000005,5.931331583980013,2822143,329,32.8
893,25th week,Maharashtra,Kolhapur,Dengue,7,,15,6,2019,16.7028412,74.2405329,0.3320778241,6.0,308.01,34.860000000000014,16.992011584245162,3876001,504,35.6
894,25th week,Maharashtra,Satara,Dengue,6,,28,6,2019,17.63612885,74.29827808,0.4617648517,2.0,307.295,34.14500000000004,19.23699388562517,3003922,287,29.7
903,26th week,Maharashtra,Raigad,Dengue,15,,26,6,2019,18.4928092,73.13807095,0.4788856141,,305.8066666,32.65666660000005,20.759170131933846,2635394,368,36.9
934,28th week,Maharashtra,Sindhudurg,Malaria,1,1.0,6,7,2019,16.1357193,73.6522086,1.898631753,5.0,,,17.609576433229666,849651,168,22.4
941,28th week,Maharashtra,Thane,Dengue,5,1.0,1,7,2019,19.1943294,72.9701779,2.685362899,5.0,307.59000000000003,34.440000000000055,46.68920308554455,11060148,1157,72.1
965,29th week,Maharashtra,Satara,Dengue,28,,3,6,2019,17.63612885,74.29827808,0.0004985160964,3.0,317.0733334,43.92333340000005,4.889598184317748,3003922,287,29.7
1040,34th week,Maharashtra,Kolhapur,Dengue,2,1.0,18,8,2019,16.7028412,74.2405329,0.1677742586,6.0,296.84000000000003,23.690000000000055,24.767034250579442,3876001,504,35.6
1052,34th week,Maharashtra,Chandrapur,Malaria,83,,12,8,2019,20.0967555,79.50454752,0.7642166746,,300.04,26.890000000000043,29.386195930014715,2204307,192,32.4
1053,34th week,Maharashtra,Satara,Dengue,15,,10,8,2019,17.63612885,74.29827808,2.153167766,3.0,,,17.609576433229666,3003922,287,29.7
1062,35th week,Maharashtra,Ahmednagar,Dengue,40,,26,8,2019,19.1627725,74.8580243,0.1011150584,8.0,309.1333334,35.98333340000005,13.125799158150661,4543159,266,22.4
1063,35th week,Maharashtra,Kolhapur,Dengue,5,1.0,25,8,2019,16.7028412,74.2405329,0.2611705563,11.0,304.0933334,30.94333340000003,19.552561249423103,3876001,504,35.6
1064,35th week,Maharashtra,Kolhapur,Malaria,3,,29,8,2019,16.7028412,74.2405329,0.2183346464,,304.21,31.060000000000002,18.91612393796155,3876001,504,35.6
1065,35th week,Maharashtra,Nagpur,Dengue,23,1.0,28,8,2019,21.1498134,79.0820556,1.381845331,,,,17.609576433229666,4653171,470,45.2
1080,35th week,Maharashtra,Ahmednagar,Dengue,32,,20,8,2019,19.1627725,74.8580243,0.1791402896,,309.24,36.09000000000003,14.004389516937312,4543159,266,22.4
1081,35th week,Maharashtra,Palghar,Dengue,143,,11,8,2019,19.684661,72.82491116,2.091814934,1.0,,,17.609576433229666,2990116,551,36.5
1100,36th week,Maharashtra,Satara,Dengue,6,,30,7,2019,17.63612885,74.29827808,0.4156390387,2.0,,,17.609576433229666,3003922,287,29.7
1101,36th week,Maharashtra,Thane,Dengue,61,4.0,20,7,2019,19.1943294,72.9701779,0.3855972868,,300.315,27.16500000000002,24.42581671193567,11060148,1157,72.1
1102,36th week,Maharashtra,Thane,Dengue,4,1.0,16,8,2019,19.1943294,72.9701779,1.141720103,9.0,,,17.609576433229666,11060148,1157,72.1
1103,36th week,Maharashtra,Thane,Malaria,7,1.0,21,8,2019,19.1943294,72.9701779,0.4011060221,,299.1333334,25.98333340000005,25.65822683770918,11060148,1157,72.1
1115,37th week,Maharashtra,Parbhani,Dengue,32,1.0,7,9,2019,19.29031365,76.60290343,0.904093517,9.0,,,17.609576433229666,1836086,295,22.1
1116,37th week,Maharashtra,Sindhudurg,Dengue,8,,5,9,2019,16.1357193,73.6522086,2.923395664,,,,17.609576433229666,849651,168,22.4
1121,37th week,Maharashtra,Aurangabad,Dengue,53,1.0,3,9,2019,19.877263,75.3390241,0.3651017782,8.0,302.49,29.340000000000032,22.257742755588428,3701282,365,42.3
1122,37th week,Maharashtra,Thane,Dengue,6,1.0,30,8,2019,19.1943294,72.9701779,0.2849312583,14.0,300.9666666,27.81666660000002,22.598203105104297,11060148,1157,72.1
1138,38th week,Maharashtra,Aurangabad,Dengue,67,3.0,12,9,2019,19.877263,75.3390241,0.5109091696,5.0,,,17.609576433229666,3701282,365,42.3
1139,38th week,Maharashtra,Jalna,Dengue,9,1.0,6,9,2019,19.91883295,75.87085986,0.8986838949,,,,17.609576433229666,1958483,253,21.7
1140,38th week,Maharashtra,Satara,Dengue,26,,27,8,2019,17.63612885,74.29827808,0.1166841354,9.0,305.3333334,32.18333340000004,16.661467533627963,3003922,287,29.7
1154,39th week,Maharashtra,Ahmednagar,Dengue,20,,25,9,2019,19.1627725,74.8580243,0.8857704141,15.0,302.0,28.850000000000023,29.177479366559417,4543159,266,22.4
1155,39th week,Maharashtra,Kolhapur,Dengue,6,,25,9,2019,16.7028412,74.2405329,0.5116805797,12.0,304.46500000000003,31.315000000000055,22.347710745244623,3876001,504,35.6
1156,39th week,Maharashtra,Nandurbar,Dengue,26,2.0,21,9,2019,21.51450155,74.54070115,0.9105038391,,302.65000000000003,29.500000000000057,28.914124006876484,1648295,276,20.1
1166,39th week,Maharashtra,Pune,Dengue,44,,1,9,2019,18.521428,73.8544541,0.405408928,9.0,301.895,28.745000000000005,23.283301488091134,9429408,603,61.3
1173,40th week,Maharashtra,Jalgaon,Dengue,42,1.0,27,9,2019,20.84288265,75.52612464,0.651715475,19.0,300.54,27.390000000000043,27.54445867141213,4224442,359,38.1
1174,40th week,Maharashtra,Nandurbar,Dengue,26,,30,9,2019,21.51450155,74.54070115,0.8655847464,,302.86,29.710000000000036,28.169649606412108,1648295,276,20.1
1188,40th week,Maharashtra,Pune,Dengue,82,,3,8,2019,18.521428,73.8544541,2.497719256,1.0,,,17.609576433229666,9429408,603,61.3
1204,41st week,Maharashtra,Pune,Dengue,2,,8,8,2019,18.521428,73.8544541,4.012694379,5.0,,,17.609576433229666,9429408,603,61.3
1205,41st week,Maharashtra,Sangli,Dengue,33,2.0,13,9,2019,17.1726928,74.58676543,0.3889180934,,300.15000000000003,27.000000000000057,24.612299778251828,2822143,329,32.8
1219,42nd week,Maharashtra,Ahmednagar,Dengue,27,1.0,12,10,2019,19.1627725,74.8580243,0.5139457242,16.0,304.1533334,31.00333340000003,22.650013068615372,4543159,266,22.4
1236,42nd week,Maharashtra,Latur,Dengue,28,,15,7,2019,18.35159075,76.75542361,0.5098842908,4.0,309.40000000000003,36.25000000000006,17.9855913002654,2455543,343,24.5
1237,42nd week,Maharashtra,Latur,Dengue,9,,3,9,2019,18.35159075,76.75542361,0.6187087164,9.0,303.2466666,30.09666660000005,24.75292685768609,2455543,343,24.5
1264,43rd week,Maharashtra,Jalgaon,Dengue,26,1.0,14,10,2019,20.84288265,75.52612464,0.03167748011,22.0,304.0966666,30.946666600000015,16.68956900895758,4224442,359,38.1
1267,43rd week,Maharashtra,Solapur,Dengue,10,,14,10,2019,17.6912883,75.8841635,0.5346480045,12.0,306.625,33.47500000000002,20.734484962914205,4315527,290,33.7
1271,44th week,Maharashtra,Buldhana,Dengue,98,,24,10,2019,20.562845,76.40869861,0.831913295,,301.62,28.470000000000027,28.84044801767276,2586258,268,28.3
1281,44th week,Maharashtra,Thane,Dengue,25,,10,9,2019,19.1943294,72.9701779,2.791678443,2.0,,,17.609576433229666,11060148,1157,72.1
1299,45th week,Maharashtra,Solapur,Dengue,11,1.0,20,9,2019,17.6912883,75.8841635,0.7313565149,6.0,310.28000000000003,37.13000000000005,19.9718392720577,4315527,290,33.7
1314,46th week,Maharashtra,Jalgaon,Dengue,8,1.0,24,10,2019,20.84288265,75.52612464,0.5594891162,,305.74,32.59000000000003,21.82231773148774,4224442,359,38.1
1315,46th week,Maharashtra,Kolhapur,Dengue,7,2.0,19,10,2019,16.7028412,74.2405329,0.4333649695,5.0,302.93,29.78000000000003,22.721547294110987,3876001,504,35.6
1330,47th week,Maharashtra,Beed,Dengue,16,,13,11,2019,18.9918442,75.909784,0.02363257748,11.0,304.6333334,31.48333340000005,16.117376007750753,2585049,268,19.1
1363,49th week,Maharashtra,Palghar,Dengue,16,,22,11,2019,19.684661,72.82491116,0.0008463301457,16.0,303.332,30.182000000000016,16.977766723669596,2990116,551,36.5
1380,51st week,Maharashtra,Chandrapur,Malaria,10,1.0,11,12,2019,20.0967555,79.50454752,9.38e-06,,300.325,27.17500000000001,19.611627532402245,2204307,192,32.4
1381,51st week,Maharashtra,Chandrapur,Dengue,34,2.0,7,10,2019,20.0967555,79.50454752,0.1414171169,,302.1966666,29.046666600000037,19.728020223517532,2204307,192,32.4
1386,1st week,Maharashtra,Gadchiroli,Malaria,13,1.0,31,12,2017,19.75907035,80.16228073,6.41e-05,13.0,300.156,27.00600000000003,19.760924456967626,1072942,77,14.2
1401,4th week,Maharashtra,Jalna,Dengue,11,,16,1,2018,19.91883295,75.87085986,0.0004715470776,,303.7133334,30.563333400000033,16.63775956970048,1958483,253,21.7
1435,10th week,Maharashtra,Nashik,Dengue,4,1.0,21,2,2018,20.0112475,73.7902364,0.0001015017778,6.0,307.69,34.54000000000002,13.136152548127807,6107187,393,38.3
1462,14th week,Maharashtra,Hingoli,Dengue,17,,20,3,2018,19.54140965,77.17376601,0.1180664855,3.0,314.168,41.01800000000003,8.90967875004431,1177345,244,17.1
1494,17th week,Maharashtra,Jalna,Dengue,18,1.0,2,4,2018,19.91883295,75.87085986,6.65e-05,4.0,321.6033334,48.45333340000002,0.9006293253004607,1958483,253,21.7
1508,18th week,Maharashtra,Ahmednagar,Dengue,16,,17,4,2018,19.1627725,74.8580243,0.02182854143,5.0,315.6866666,42.536666600000046,6.374829008844958,4543159,266,22.4
1520,20th week,Maharashtra,Osmanabad,Dengue,11,,11,5,2018,18.16984395,76.11796321,0.002483980371,3.0,318.7933334,45.64333340000002,3.401810950655909,1660311,219,25.7
1587,24th week,Maharashtra,Sangli,Dengue,14,,19,5,2018,17.1726928,74.58676543,0.06999731627,7.0,312.956,39.80600000000004,9.376422775347464,2822143,329,32.8
1609,25th week,Maharashtra,Kolhapur,Dengue,5,1.0,10,6,2018,16.7028412,74.2405329,1.523413764,,309.11,35.960000000000036,30.871738189281515,3876001,504,35.6
1610,25th week,Maharashtra,Solapur,Dengue,7,1.0,19,5,2018,17.6912883,75.8841635,0.04581453271,4.0,314.572,41.422000000000025,7.653968708353302,4315527,290,33.7
1614,26th week,Maharashtra,Palghar,Dengue,10,,25,6,2018,19.684661,72.82491116,1.962859083,,306.46,33.31,38.67868560484853,2990116,551,36.5
1634,27th week,Maharashtra,Kolhapur,Dengue,69,,13,6,2018,16.7028412,74.2405329,1.33649679,6.0,299.66,26.510000000000048,36.852409780495876,3876001,504,35.6
1637,27th week,Maharashtra,Sangli,Dengue,10,1.0,25,6,2018,17.1726928,74.58676543,0.5813302829,,310.46,37.31,17.943846840407655,2822143,329,32.8
1638,27th week,Maharashtra,Satara,Dengue,26,,8,6,2018,17.63612885,74.29827808,0.6279875973,5.0,307.2266666,34.07666660000001,21.36863841118859,3003922,287,29.7
1666,29th week,Maharashtra,Gadchiroli,Malaria,15,1.0,14,7,2018,19.75907035,80.16228073,2.67674705,3.0,,,17.609576433229666,1072942,77,14.2
1687,29th week,Maharashtra,Chandrapur,Dengue,35,,10,7,2018,20.0967555,79.50454752,3.618563972,5.0,,,17.609576433229666,2204307,192,32.4
1688,29th week,Maharashtra,Chandrapur,Dengue,77,,15,5,2018,20.0967555,79.50454752,0.01662380146,6.0,318.176,45.02600000000001,4.120898447765356,2204307,192,32.4
1689,29th week,Maharashtra,Sangli,Dengue,13,,1,7,2018,17.1726928,74.58676543,0.1875941459,8.0,304.40000000000003,31.250000000000057,18.365938038385572,2822143,329,32.8
1719,31st week,Maharashtra,Kolhapur,Dengue,170,2.0,11,6,2018,16.7028412,74.2405329,1.483449569,6.0,307.16,34.01000000000005,32.08847195743274,3876001,504,35.6
1771,35th week,Maharashtra,Aurangabad,Dengue,4,1.0,2,9,2018,19.877263,75.3390241,0.1642335851,11.0,303.94,30.79000000000002,18.479320814557262,3701282,365,42.3
1783,35th week,Maharashtra,Satara,Dengue,13,,16,8,2018,17.63612885,74.29827808,0.201422166,4.0,301.86,28.710000000000036,20.771891486094457,3003922,287,29.7
1830,40th week,Maharashtra,Beed,Dengue,10,1.0,17,9,2018,18.9918442,75.909784,0.02392114196,12.0,310.38,37.23000000000002,11.067476879643463,2585049,268,19.1
1835,40th week,Maharashtra,Pune,Dengue,51,,23,9,2018,18.521428,73.8544541,0.1302601564,16.0,304.7333334,31.583333400000015,17.358286042965528,9429408,603,61.3
1837,40th week,Maharashtra,Satara,Dengue,39,,6,8,2018,17.63612885,74.29827808,0.1002392496,6.0,302.07,28.920000000000016,19.32622829187355,3003922,287,29.7
